area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;021302;052;07;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;2712;50,4809639232964;010150021302;01015002130205207;010150021302052071;202601
1;010150;023202;077;01;1;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2712;112,836655651097;010150023202;01015002320207701;010150023202077011;202601
1;010150;023202;077;02;1;3;3;3;3;2;2;3;2;2;2;2;2;3;2;3;2;2712;112,836655651097;010150023202;01015002320207702;010150023202077021;202601
1;010150;023202;077;04;1;2;2;3;2;3;2;3;2;3;2;3;3;2;2;2;2;2712;112,836655651097;010150023202;01015002320207704;010150023202077041;202601
1;010150;023202;077;07;1;2;2;3;2;2;2;3;3;2;2;2;2;2;2;2;2;2712;112,836655651097;010150023202;01015002320207707;010150023202077071;202601
1;010150;023202;077;08;1;2;2;1;3;2;1;1;3;3;3;3;3;2;3;2;3;2712;112,836655651097;010150023202;01015002320207708;010150023202077081;202601
1;010150;023202;077;09;1;2;2;1;3;1;3;1;3;2;2;2;2;3;3;3;3;2712;112,836655651097;010150023202;01015002320207709;010150023202077091;202601
1;010150;023303;062;01;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2711;132,415242212067;010150023303;01015002330306201;010150023303062011;202601
1;010150;023303;062;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;132,415242212067;010150023303;01015002330306202;010150023303062021;202601
1;010150;023303;062;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;132,415242212067;010150023303;01015002330306203;010150023303062031;202601
1;010150;023303;062;04;1;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;132,415242212067;010150023303;01015002330306204;010150023303062041;202601
